date , location_name , approx_lat , approx_lon , severity_note , source_url , source_type
07-11-2021, Ashok Nagar ,13.0373,80.2123, waterlogging reported , https://www.deccanherald.com/amp/story/india%2Fmore-rains-likely-in-chennai-neighbouring-districts-1048812.html , news
07-11-2021, T. Nagar ,13.0418,80.2341, waterlogging reported , https://www.deccanherald.com/amp/story/india%2Fmore-rains-likely-in-chennai-neighbouring-districts-1048812.html , news
07-11-2021, Anna Nagar ,13.0851,80.2101, waterlogging reported , https://www.deccanherald.com/amp/story/india%2Fmore-rains-likely-in-chennai-neighbouring-districts-1048812.html , news
07-11-2021, Velachery ,12.9756,80.2207, underwater 3rd consecutive day , https://www.deccanherald.com/amp/story/india%2Fmore-rains-likely-in-chennai-neighbouring-districts-1048812.html , news
                                         04-12-2023, Velachery ,12.9756,80.2207," inundated, #Velachery trending on X, residents stuck without power/water for days ", https://www.deccanherald.com/amp/story/india%2Ftamil-nadu%2Fparts-of-chennai-remain-inundated-relief-efforts-expedited-2799068.html , news
04-12-2023, Tambaram ,12.9249,80.1, inundated , https://www.deccanherald.com/amp/story/india%2Ftamil-nadu%2Fparts-of-chennai-remain-inundated-relief-efforts-expedited-2799068.html , news
